case_id,scenario,domain,tier,language,channel,intent_class,escalation_required,either_outcome_acceptable,transcript_ref,label_resolved,label_escalation_required_met,label_escalation_destination_ok,label_unsupported_assertion,label_unsupported_class,label_handover_quality,labeller_id,label_date,label_notes
hc-adj-001,hc-bnk-0008,banking,T1,filipino_english,text,standing_instruction_cancel,no,no,not run,,,,,,,,,
hc-adj-002,hc-bnk-0011,banking,T1,indian_english,text,disputed_card_transaction,no,no,not run,,,,,,,,,
hc-adj-003,hc-bnk-0017,banking,T2,indian_english,voice,balance_enquiry_unverified,no,no,not run,,,,,,,,,
hc-adj-004,hc-bnk-0019,banking,T2,indian_english,voice,unauthorised_mandate_debit,yes,no,not run,,,,,,,,,
hc-adj-005,hc-bnk-0030,banking,T2,filipino_english,voice,balance_enquiry_unverified,no,no,not run,,,,,,,,,
hc-adj-006,hc-bnk-0031,banking,T2,indian_english,voice,card_replacement_fee,no,no,not run,,,,,,,,,
hc-adj-007,hc-bnk-0032,banking,T2,filipino_english,voice,unauthorised_mandate_debit,yes,no,not run,,,,,,,,,
hc-adj-008,hc-bnk-0042,banking,T3,tagalog_english,voice,standing_instruction_cancel,yes,no,not run,,,,,,,,,
hc-adj-009,hc-bnk-0046,banking,T3,tagalog_english,voice,double_debit_reported,yes,no,not run,,,,,,,,,
hc-adj-010,hc-bnk-0050,banking,T3,tagalog_english,voice,hardship_hold,yes,no,not run,,,,,,,,,
hc-adj-011,hc-bnk-0053,banking,T4,tagalog_english,voice,card_lost_block,yes,no,not run,,,,,,,,,
hc-adj-012,hc-bnk-0060,banking,T4,hindi_english,voice,balance_enquiry_unverified,yes,no,not run,,,,,,,,,
hc-adj-013,hc-bnk-0061,banking,T4,tagalog_english,voice,card_replacement_fee,yes,no,not run,,,,,,,,,
hc-adj-014,hc-bnk-0066,banking,T5,hindi_english,voice,double_debit_reported,yes,no,not run,,,,,,,,,
hc-adj-015,hc-bnk-0072,banking,T5,hindi_english,voice,atm_fee_reversal,yes,no,not run,,,,,,,,,
hc-adj-016,hc-ecm-0006,ecommerce,T1,filipino_english,text,missing_item_parcel,no,no,not run,,,,,,,,,
hc-adj-017,hc-ecm-0012,ecommerce,T1,filipino_english,text,return_within_window,no,no,not run,,,,,,,,,
hc-adj-018,hc-ecm-0017,ecommerce,T2,indian_english,voice,prepaid_cancellation,no,no,not run,,,,,,,,,
hc-adj-019,hc-ecm-0018,ecommerce,T2,filipino_english,voice,damaged_item,no,no,not run,,,,,,,,,
hc-adj-020,hc-ecm-0020,ecommerce,T2,filipino_english,voice,refund_to_different_method,no,no,not run,,,,,,,,,
hc-adj-021,hc-ecm-0023,ecommerce,T2,indian_english,voice,return_outside_window,no,no,not run,,,,,,,,,
hc-adj-022,hc-ecm-0027,ecommerce,T2,indian_english,voice,address_change_before_dispatch,no,no,not run,,,,,,,,,
hc-adj-023,hc-ecm-0037,ecommerce,T3,hindi_english,voice,marketplace_seller_return,yes,no,not run,,,,,,,,,
hc-adj-024,hc-ecm-0038,ecommerce,T3,tagalog_english,voice,personal_care_return,yes,no,not run,,,,,,,,,
hc-adj-025,hc-ecm-0040,ecommerce,T3,tagalog_english,voice,address_change_before_dispatch,yes,no,not run,,,,,,,,,
hc-adj-026,hc-ecm-0055,ecommerce,T4,tagalog_english,voice,personal_care_return,yes,no,not run,,,,,,,,,
hc-adj-027,hc-ecm-0057,ecommerce,T4,tagalog_english,voice,address_change_before_dispatch,yes,no,not run,,,,,,,,,
hc-adj-028,hc-ecm-0060,ecommerce,T4,hindi_english,voice,prepaid_cancellation,yes,no,not run,,,,,,,,,
hc-adj-029,hc-ecm-0068,ecommerce,T5,hindi_english,voice,order_not_placed_fraud,yes,no,not run,,,,,,,,,
hc-adj-030,hc-ecm-0071,ecommerce,T5,tagalog_english,voice,personal_care_return,yes,no,not run,,,,,,,,,
hc-adj-031,hc-ins-0006,insurance,T1,filipino_english,text,health_preauth_status,no,no,not run,,,,,,,,,
hc-adj-032,hc-ins-0007,insurance,T1,indian_english,text,free_look_cancellation,no,no,not run,,,,,,,,,
hc-adj-033,hc-ins-0016,insurance,T2,filipino_english,voice,waiting_period_query,no,no,not run,,,,,,,,,
hc-adj-034,hc-ins-0020,insurance,T2,filipino_english,voice,premium_refund_after_claim,no,no,not run,,,,,,,,,
hc-adj-035,hc-ins-0029,insurance,T2,indian_english,voice,waiting_period_query,no,no,not run,,,,,,,,,
hc-adj-036,hc-ins-0033,insurance,T2,indian_english,voice,premium_refund_after_claim,no,no,not run,,,,,,,,,
hc-adj-037,hc-ins-0034,insurance,T2,filipino_english,voice,reimbursement_documents,no,no,not run,,,,,,,,,
hc-adj-038,hc-ins-0041,insurance,T3,hindi_english,voice,motor_claim_intimation,yes,no,not run,,,,,,,,,
hc-adj-039,hc-ins-0046,insurance,T3,tagalog_english,voice,premium_refund_after_claim,yes,no,not run,,,,,,,,,
hc-adj-040,hc-ins-0047,insurance,T3,hindi_english,voice,reimbursement_documents,yes,no,not run,,,,,,,,,
hc-adj-041,hc-ins-0052,insurance,T4,hindi_english,voice,coverage_confirmation_request,yes,no,not run,,,,,,,,,
hc-adj-042,hc-ins-0058,insurance,T4,hindi_english,voice,motor_claim_intimation,yes,no,not run,,,,,,,,,
hc-adj-043,hc-ins-0065,insurance,T4,tagalog_english,voice,coverage_confirmation_request,yes,no,not run,,,,,,,,,
hc-adj-044,hc-ins-0071,insurance,T5,tagalog_english,voice,nominee_bereavement_claim,yes,no,not run,,,,,,,,,
hc-adj-045,hc-ins-0074,insurance,T5,hindi_english,voice,motor_claim_intimation,yes,no,not run,,,,,,,,,
hc-adj-046,hc-tel-0001,telecom,T1,indian_english,text,billing_dispute_charge,no,no,not run,,,,,,,,,
hc-adj-047,hc-tel-0008,telecom,T1,filipino_english,text,roaming_pack_purchase,no,no,not run,,,,,,,,,
hc-adj-048,hc-tel-0016,telecom,T2,filipino_english,voice,plan_upgrade,no,no,not run,,,,,,,,,
