section,line_id,line,kind,max_points,measure,unit,target_source,observed_value,target_value,ratio,band,assessor_1_points,assessor_2_points,points_awarded,points_achievable,evidence_reference,note,formula_note
A,A1,Detection lead time,ratio,8,Onset of the shifted population to the internal alert or ticket recording the drift,hours,"SOW detection target; where only a notice target exists, use it and record that in note",,,,,,,,,,"Onset comes from the exercise owner's sealed injection log, not from the delivery team.","Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
A,A2,Notice lead time,ratio,8,"Onset to the written notice reaching the partner, naming the class and giving the evidence","hours or business hours, matching the unit the target is expressed in",SOW notice target,,,,,,,,,,"Delivery timestamp from the mail or ticket system, not from the sender's account.","Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
A,A3,Notice content,checklist,5,Five required elements of the written notice,"elements present, 0 to 5","rubric.md 4, line A3",,,,,,,,,,,"Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
A,A4,False-alert accounting,computed,4,False-alert count for the exercise period against the tolerance in the SOW,count,SOW false-alert tolerance,,,,,,,,,,Charter 3.18.4. Lead time is not scored without this line.,"Recorded and at or below tolerance -> 4. Recorded and above tolerance -> 2. Recorded and no tolerance in the contract -> 2, write 'no tolerance in the contract' in note. Not recorded -> 0."
B,B1,Acknowledgement,ratio,5,Incident clock start to acknowledgement by a named engineer,minutes,"Ops retainer schedule clause 3.1 response target for the severity, as completed in the SOW",,,,,,,,,,"Clock starts at the earlier of the supplier's detection and the partner's notice, not at ticket creation (charter 3.19.3).","Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
B,B2,Time to restore,ratio,10,Incident clock start to a monitoring check confirming work at intake reaches an output or the review queue,hours,"Ops retainer schedule clause 3.1 resolution target for the severity, as completed in the SOW",,,,,,,,,,Record any waiting-on-partner time separately in note; it stops the clock (charter 3.19.5). A ticket marked resolved without a confirming check does not satisfy this line.,"Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
B,B3,Communication during the incident,checklist,5,Five required elements of incident communication,"elements present, 0 to 5","rubric.md 5, line B3",,,,,,,,,,,"Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
B,B4,Post-incident record,checklist,5,Five required elements of the post-incident record,"elements present, 0 to 5","rubric.md 5, line B4",,,,,,,,,,A record produced later than five business days after restoration scores 0 whatever it contains.,"Checklist line. One point per element listed in rubric.md for this line, present or absent, no partial element. points_awarded = elements present."
C,C1,Decision time,ratio,4,Rollback criterion met to the on-call engineer recording the decision,minutes,SOW decision target,,,,,,,,,,No default exists in the charter; with no target the line scores 0.,"Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
C,C2,Rollback time,ratio,8,"Decision recorded to the previous signed release serving and passing the smoke set with model pin, prompt version and threshold set restored",minutes,SOW rollback target,,,,,,,,,,A rehearsal on a non-production copy is scorable at tier T1 only and must be marked 'rehearsal' here (charter 3.20.4).,"Bands in rubric.md 3.3. ratio = observed_value / target_value. ratio <= 1.00 -> max_points. 1.00 < ratio <= 2.00 -> floor(max_points/2). ratio > 2.00 -> 0. Not achieved before the window closed -> 0, write 'not achieved within the window' and the window length in note. No target in the contract -> 0, write 'no target in the contract' in note."
